Sample,Seq Id,Position,Reads (Cov),Reads (Cov),Score,Skew,Freq,Annotation,Gene,Product
breseq_50,NZ_CP012004,"""=2846790""",0 (0.000),385 (0.990),115/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_50,NZ_CP012004,"""=3150084""",45 (0.110),9 (0.030),8/210,NT,19.6%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",35 (0.100),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_50,NZ_CP012005,"""115442=""",0 (0.000),3 (0.010),3/236,NT,100%,coding(245/921nt),ACX60_RS18835,transposase
,NZ_CP012005,"""115451=""",NA (NA),,,,,coding(236/921nt),ACX60_RS18835,transposase
breseq_51,NC_009083,"""11236=""",173 (0.060),1892 (0.690),150/216,NT,82.9%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",628 (0.210),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_51,NC_009083,"""=11251""",176 (0.060),1092 (0.400),147/216,NT,73.7%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",628 (0.210),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_51,NZ_CP012004,"""=1389345""",3 (0.010),10 (0.030),9/248,NT,8.7%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""95905=""",208 (0.830),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_51,NZ_CP012004,"""=1389345""",3 (0.010),215 (0.710),85/248,NT,64.9%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=97084""",230 (0.920),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_51,NZ_CP012004,"""1389363=""",0 (0.000),378 (1.250),116/248,NT,71.6%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",300 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_51,NZ_CP012004,"""=1389371""",12 (0.030),34 (0.110),22/246,NT,25.5%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",187 (0.760),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_51,NZ_CP012004,"""1591230=""",457 (1.290),30 (0.100),22/212,NT,7.0%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",407 (1.350),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_51,NZ_CP012004,"""2597132=""",477 (1.350),29 (0.100),23/206,NT,7.0%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",374 (1.270),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_51,NZ_CP012004,"""2846783=""",0 (0.000),396 (1.150),117/242,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_51,NZ_CP012004,"""=2846790""",0 (0.000),412 (1.180),107/244,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_51,NZ_CP012004,"""=3150084""",52 (0.150),12 (0.040),12/214,NT,24.5%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",29 (0.090),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_51,NZ_CP012005,"""95904=""",203 (0.810),101 (0.550)+33 bp,59/182,NT,41.4%,intergenic(21/72),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
,NZ_CP012005,"""131501=""",187 (0.750),,,,,coding(134/192nt),ACX60_RS18925,hypothetical protein
breseq_52,NC_009083,"""11236=""",99 (0.050),1014 (0.500),133/212,NT,76.2%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",546 (0.240),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_52,NC_009083,"""=11251""",98 (0.050),754 (0.370),130/212,NT,70.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",546 (0.240),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_52,NZ_CP012004,"""1389363=""",1 (0.000),267 (0.940),93/244,NT,59.0%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",370 (1.300),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_52,NZ_CP012004,"""=1389371""",6 (0.020),103 (0.370),55/242,NT,41.4%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",286 (1.020),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_52,NZ_CP012004,"""1591230=""",280 (0.990),46 (0.190),30/208,NT,14.3%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",313 (1.300),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_52,NZ_CP012004,"""2597132=""",428 (1.510),31 (0.130),24/202,NT,8.8%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",291 (1.240),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_52,NZ_CP012004,"""2846783=""",1 (0.000),250 (0.910),100/238,NT,99.6%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_52,NZ_CP012004,"""=2846790""",0 (0.000),295 (1.060),105/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_52,NZ_CP012004,"""=3150084""",49 (0.170),9 (0.040),8/210,NT,22.7%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",19 (0.080),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_53,NC_009083,"""11236=""",195 (0.070),896 (0.310),129/216,NT,57.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1152 (0.340),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_53,NC_009083,"""=11251""",194 (0.070),858 (0.300),135/216,NT,56.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1152 (0.340),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_53,NZ_CP012004,"""=22123""",NA (NA),5 (0.020),5/240,NT,NA,noncoding(1687/2918nt),ACX60_RS00090,23S ribosomal RNA
,NZ_CP012004,"""=22137""",NA (NA),,,,,noncoding(1701/2918nt),ACX60_RS00090,23S ribosomal RNA
breseq_53,NZ_CP012004,"""=1389345""",10 (0.030),17 (0.060),13/248,NT,11.4%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=97084""",253 (0.990),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_53,NZ_CP012004,"""1389363=""",1 (0.000),239 (0.810),85/248,NT,58.0%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",345 (1.350),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_53,NZ_CP012004,"""=1389371""",10 (0.030),145 (0.500),63/246,NT,53.4%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",243 (0.960),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_53,NZ_CP012004,"""1389682=""",101 (0.300),18 (0.060),14/246,NT,7.6%,intergenic(399/185),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",338 (1.340),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_53,NZ_CP012004,"""2846783=""",0 (0.000),300 (0.930),110/242,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_53,NZ_CP012004,"""=2846790""",0 (0.000),196 (0.600),86/244,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_53,NZ_CP012004,"""=3150084""",63 (0.190),5 (0.020),5/214,NT,10.6%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",30 (0.100),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_54,NC_009083,"""11236=""",106 (0.040),1260 (0.500),137/214,NT,80.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",516 (0.190),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_54,NC_009083,"""=11251""",105 (0.040),1007 (0.400),136/214,NT,76.8%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",516 (0.190),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_54,NZ_CP012004,"""=19522""",NA (NA),4 (0.010),3/246,NT,NA,noncoding(1225/1544nt),ACX60_RS00075,16S ribosomal RNA
,NZ_CP012004,"""19526=""",NA (NA),,,,,noncoding(1229/1544nt),ACX60_RS00075,16S ribosomal RNA
breseq_54,NZ_CP012004,"""=1389345""",1 (0.000),9 (0.030),9/246,NT,12.1%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""95905=""",130 (0.620),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_54,NZ_CP012004,"""=1389345""",1 (0.000),262 (0.950),89/246,NT,72.9%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=97084""",194 (0.930),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_54,NZ_CP012004,"""1389363=""",0 (0.000),348 (1.260),118/246,NT,72.2%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",268 (1.280),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_54,NZ_CP012004,"""1591230=""",359 (1.050),28 (0.100),24/210,NT,7.2%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",419 (1.430),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_54,NZ_CP012004,"""2597132=""",473 (1.380),29 (0.100),24/204,NT,7.0%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",375 (1.320),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_54,NZ_CP012004,"""2846783=""",1 (0.000),327 (0.980),117/240,NT,99.7%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_54,NZ_CP012004,"""=2846790""",0 (0.000),346 (1.030),107/242,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_54,NZ_CP012004,"""=3150084""",46 (0.130),14 (0.050),13/212,NT,27.8%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",33 (0.110),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_54,NZ_CP012005,"""95904=""",125 (0.600),111 (0.720)+33 bp,53/180,NT,48.2%,intergenic(21/72),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
,NZ_CP012005,"""131501=""",201 (0.960),,,,,coding(134/192nt),ACX60_RS18925,hypothetical protein
breseq_55,NC_009083,"""11236=""",284 (0.090),1744 (0.550),163/216,NT,72.1%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1100 (0.300),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_55,NC_009083,"""=11251""",290 (0.100),1206 (0.380),158/216,NT,64.1%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1100 (0.300),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_55,NZ_CP012004,"""=21142""",NA (NA),4 (0.010),4/246,NT,NA,noncoding(706/2918nt),ACX60_RS00090,23S ribosomal RNA
,NZ_CP012004,"""21146=""",NA (NA),,,,,noncoding(710/2918nt),ACX60_RS00090,23S ribosomal RNA
breseq_55,NZ_CP012004,"""838908=""",134 (0.380),158 (0.540),53/248,NT,42.7%,intergenic(+49/411),ACX60_RS04025/ACX60_RS04030,sodium:proton antiporter/hypothetical protein
,NZ_CP012005,"""=132540""",290 (1.260),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_55,NZ_CP012004,"""=1389345""",11 (0.030),6 (0.020),6/248,NT,5.1%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=97084""",214 (0.930),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_55,NZ_CP012004,"""1389363=""",1 (0.000),284 (0.980),94/248,NT,66.1%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",290 (1.260),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_55,NZ_CP012004,"""=1389371""",7 (0.020),232 (0.800),90/246,NT,69.5%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",197 (0.870),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_55,NZ_CP012004,"""1591230=""",372 (1.050),16 (0.050),14/212,NT,5.1%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",272 (0.900),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_55,NZ_CP012004,"""2597132=""",443 (1.260),19 (0.060),18/206,NT,5.1%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",341 (1.170),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_55,NZ_CP012004,"""2846783=""",1 (0.000),323 (0.940),118/242,NT,99.7%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_55,NZ_CP012004,"""=2846790""",0 (0.000),327 (0.940),109/244,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_55,NZ_CP012004,"""3078914=""",133 (0.380),214 (0.610),86/248,NT,61.7%,coding(673/678nt),ACX60_RS14610,NADHquinone oxidoreductase subunit B
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_55,NZ_CP012004,"""=3078919""",136 (0.390),193 (0.550),92/246,NT,58.9%,coding(668/678nt),ACX60_RS14610,NADHquinone oxidoreductase subunit B
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_56,NC_009083,"""11236=""",194 (0.060),1978 (0.580),163/214,NT,80.0%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",820 (0.220),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_56,NC_009083,"""=11251""",198 (0.060),1495 (0.440),160/214,NT,75.1%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",820 (0.220),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_56,NZ_CP012004,"""1389363=""",1 (0.000),368 (0.940),122/246,NT,65.2%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",392 (1.020),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_56,NZ_CP012004,"""=1389371""",6 (0.020),209 (0.540),76/244,NT,54.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",350 (0.920),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_56,NZ_CP012004,"""1591230=""",487 (1.220),66 (0.190),41/210,NT,14.6%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",357 (1.050),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_56,NZ_CP012004,"""2597132=""",511 (1.280),110 (0.330),55/204,NT,20.8%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",416 (1.260),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_56,NZ_CP012004,"""2846783=""",1 (0.000),400 (1.030),123/240,NT,99.8%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_56,NZ_CP012004,"""=2846790""",0 (0.000),400 (1.020),117/242,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_56,NZ_CP012004,"""=3150084""",52 (0.130),16 (0.050),14/212,NT,26.7%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",43 (0.130),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_56,NZ_CP012004,"""3394813=""",117 (0.290),285 (0.730),98/246,NT,55.5%,coding(1742/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=97084""",340 (0.880),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_56,NZ_CP012004,"""=3394821""",134 (0.340),278 (0.710),102/246,NT,58.8%,coding(1750/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",256 (0.660),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_57,NC_009083,"""11236=""",101 (0.040),1420 (0.590),144/218,NT,84.0%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",454 (0.180),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_57,NC_009083,"""=11251""",102 (0.040),1086 (0.450),153/218,NT,80.0%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",454 (0.180),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_57,NZ_CP012004,"""=22123""",NA (NA),3 (0.010),3/242,NT,NA,noncoding(1687/2918nt),ACX60_RS00090,23S ribosomal RNA
,NZ_CP012004,"""=22137""",NA (NA),,,,,noncoding(1701/2918nt),ACX60_RS00090,23S ribosomal RNA
breseq_57,NZ_CP012004,"""=1389345""",1 (0.000),267 (1.200),97/250,NT,81.4%,intergenic(62/522),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=97084""",121 (0.680),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_57,NZ_CP012004,"""1389363=""",0 (0.000),240 (1.080),90/250,NT,72.1%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",186 (1.040),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_57,NZ_CP012004,"""=1389371""",5 (0.020),9 (0.040),9/248,NT,10.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",153 (0.870),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_57,NZ_CP012004,"""1591230=""",292 (1.100),24 (0.110),17/214,NT,8.1%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
,NZ_CP012004,"""=1642099""",294 (1.300),,,,,coding(6/1137nt),ACX60_RS07715,MFS transporter
breseq_57,NZ_CP012004,"""2597132=""",341 (1.290),42 (0.190),26/208,NT,13.3%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
,NZ_CP012004,"""=2639957""",264 (1.200),,,,,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
breseq_57,NZ_CP012004,"""2846783=""",1 (0.000),325 (1.260),117/244,NT,99.7%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_57,NZ_CP012004,"""=2846790""",0 (0.000),282 (1.080),95/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_57,NZ_CP012004,"""=3150084""",31 (0.120),11 (0.050),10/216,NT,32.5%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",19 (0.080),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_57,NZ_CP012004,"""3394859=""",251 (0.950),24 (0.110),21/246,NT,11.1%,coding(1788/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95907=""",137 (0.780),,,,,intergenic(24/69),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_57,NZ_CP012004,"""=3394871""",258 (0.970),40 (0.180),31/246,NT,17.7%,coding(1800/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=97082""",118 (0.670),,,,,intergenic(+16/14),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_57,NZ_CP012005,"""95904=""",134 (0.750),84 (0.640)+33 bp,46/184,NT,44.4%,intergenic(21/72),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
,NZ_CP012005,"""131501=""",153 (0.860),,,,,coding(134/192nt),ACX60_RS18925,hypothetical protein
breseq_58,NC_009083,"""11236=""",164 (0.060),1229 (0.470),139/216,NT,71.9%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",818 (0.270),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_58,NC_009083,"""=11251""",164 (0.060),839 (0.320),135/216,NT,63.6%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",818 (0.270),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_58,NZ_CP012004,"""838908=""",83 (0.260),40 (0.160),22/248,NT,20.2%,intergenic(+49/411),ACX60_RS04025/ACX60_RS04030,sodium:proton antiporter/hypothetical protein
,NZ_CP012005,"""=132540""",233 (1.210),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
